20|03/16/2018 12:26:56
17|03/16/2018 12:26:34
17|03/16/2018 12:26:10
44|03/14/2018 23:35:27
41|03/14/2018 23:34:45
68|03/14/2018 23:34:12
71|03/14/2018 23:33:10
9|03/14/2018 23:30:34
49|03/14/2018 23:29:47
78|03/14/2018 23:28:55
76|03/14/2018 23:28:20
2|03/14/2018 23:27:37
56|03/14/2018 23:27:05
53|03/14/2018 23:26:10
56|03/14/2018 23:25:47
71|03/14/2018 23:25:09
56|03/14/2018 23:04:19
50|03/14/2018 23:03:22
75|03/13/2018 22:39:48
68|03/13/2018 22:39:07
72|03/13/2018 22:38:32
0|03/13/2018 22:38:04
51|03/13/2018 22:38:00
59|03/13/2018 22:37:42
52|03/13/2018 22:37:21
32|03/13/2018 22:36:57
71|03/13/2018 22:34:44
68|03/13/2018 22:34:22
59|03/13/2018 22:07:35
0|03/13/2018 22:06:46
0|03/13/2018 22:06:44
0|03/13/2018 22:06:40
23|03/13/2018 22:06:38
46|03/13/2018 22:06:06
53|03/13/2018 22:05:43
First_attempt|03/13/2018 18:21:15
